,mi_score,Correlation
"('Home',)",0.0042613908063655614,0.06055818381871971
"('No Urgent Place',)",0.00778642377782468,0.1238788942170466
"('Work',)",0.0,0.08111268113115978
"('Alone',)",0.0,0.09794993873785056
"('Friend(s)',)",0.007269814583383827,0.12414984511834086
"('Kid(s)',)",0.02581792497061386,0.04195933194680439
"('Partner',)",0.01734596513364739,0.017551593106733397
"('Rainy',)",0.0,0.06680580092518533
"('Snowy',)",0.004554828247370857,0.06028755238111908
"('Sunny',)",0.009918769808776595,0.09616481717517322
"(30,)",0.0,0.03426878199694061
"(55,)",0.0,0.045354478949797654
"(80,)",0.000983955459290975,0.06974856090832195
"('10AM',)",0.010308223945245665,0.025651581700329554
"('10PM',)",0.011258088443273806,0.045991603092853536
"('2PM',)",0.01330841268672689,0.0819661573506124
"('6PM',)",0.0012345269951596904,0.024218659035416378
"('7AM',)",0.015113661767801823,0.08111268113115978
"('Bar',)",0.012273253715718191,0.1383954688581399
"('Carry out & Take away',)",0.01394803811364742,0.16081125645754232
"('Coffee House',)",0.005765573360680953,0.0927281467376278
"('Restaurant(20-50)',)",0.0021404431293010617,0.08450330497536482
"('Restaurant(<20)',)",0.016252050828035713,0.14119794088001153
"('1d',)",0.013441682624913298,0.13617376768789405
"('2h',)",0.016849580650855955,0.13617376768789405
"('Female',)",0.007133835642310515,0.04183241007338761
"('Male',)",0.00160211974518365,0.04183241007338761
"('21',)",0.01004341288389643,0.035814214165869634
"('26',)",0.0,0.032089412228451686
"('31',)",0.0028908067829398476,0.019829496724598137
"('36',)",0.0,0.021325053144258355
"('41',)",0.0,0.0
"('46',)",0.0,0.0
"('50plus',)",0.0,0.052872260593777885
"('below21',)",0.01221325800466655,0.02503099232051803
"('Divorced',)",0.0057855917885829555,0.014156356829063084
"('Married partner',)",0.00606676167605702,0.04760358186104203
"('Single',)",0.015073893809090855,0.0617212154791022
"('Unmarried partner',)",0.0,0.0
"('Widowed',)",0.0,0.0029958689066146987
"('Associates degree',)",0.0,0.0
"('Bachelors degree',)",0.0007125446107671962,0.015124882562921596
"('Graduate degree (Masters or Doctorate)',)",0.0,0.0335141523732625
"('High School Graduate',)",0.002407298562911997,0.0
"('Some High School',)",0.0,0.02165487069826397
"('Some college - no degree',)",0.004472579957650602,0.03804062563938519
"('Architecture & Engineering',)",0.007103839358741482,0.009113864781536035
"('Arts Design Entertainment Sports & Media',)",0.0036072156131092825,0.025323727988559346
"('Building & Grounds Cleaning & Maintenance',)",0.0,0.0
"('Business & Financial',)",0.005119741888973017,0.0
"('Community & Social Services',)",0.0,0.006414452810832685
"('Computer & Mathematical',)",0.006436680742225143,0.0
"('Construction & Extraction',)",0.0,0.030197897904441613
"('Education&Training&Library',)",0.0,0.030296173358405575
"('Farming Fishing & Forestry',)",0.0,0.0
"('Food Preparation & Serving Related',)",0.010143073241206224,0.0
"('Healthcare Practitioners & Technical',)",0.014488989591906254,0.03110888499850443
"('Healthcare Support',)",0.0,0.04097540180230905
"('Installation Maintenance & Repair',)",0.011680904979796125,0.0
"('Legal',)",0.016106356353925655,0.018732386811054054
"('Life Physical Social Science',)",0.0,0.0
"('Management',)",0.0012844925354560388,0.0
"('Office & Administrative Support',)",0.0036721106651702584,0.010471245055840548
"('Personal Care & Service',)",0.005936597296119395,0.0
"('Production Occupations',)",0.003178731692279335,0.0
"('Protective Service',)",0.005933685235679498,0.016541971336804982
"('Retired',)",0.0,0.04292351605829238
"('Sales & Related',)",0.014452618490168767,0.0
